V1,V6,V10,V12,V13,V14,V15
54,4401.0,13,414.0,1,183.0,2
34,1451.0,30,1097.0,15,-1.0,0
34,2085.0,10,356.0,3,182.0,2
34,369.0,2,868.0,3,342.0,4
63,2193.0,21,1348.0,4,-1.0,0
43,-399.0,28,662.0,3,-1.0,0
32,607.0,18,1060.0,5,-1.0,0
29,95.0,3,172.0,3,-1.0,0
28,2788.0,6,369.0,2,-1.0,0
20,829.0,9,253.0,2,-1.0,0
26,901.0,26,764.0,2,-1.0,0
30,364.0,30,306.0,2,-1.0,0
37,197.0,16,175.0,1,200.0,1
27,3792.0,22,504.0,1,183.0,2
32,634.0,29,696.0,1,-1.0,0
79,8556.0,18,326.0,2,272.0,2
30,61.0,5,525.0,1,-1.0,0
41,3126.0,29,222.0,1,91.0,7
63,1612.0,17,233.0,2,-1.0,0
63,3115.0,16,432.0,5,-1.0,0
27,1075.0,2,658.0,1,-1.0,0
73,279.0,28,399.0,3,-1.0,0
31,2.0,12,703.0,4,-1.0,0
73,934.0,14,961.0,5,-1.0,0
41,4047.0,18,343.0,1,-1.0,0
32,0.0,4,233.0,3,276.0,2
37,52.0,6,908.0,1,185.0,9
37,4017.0,30,665.0,2,196.0,1
28,80.0,20,676.0,2,146.0,2
28,0.0,25,269.0,1,40.0,2
43,1854.0,30,323.0,1,-1.0,0
28,11862.0,21,549.0,2,238.0,13
26,639.0,6,709.0,5,-1.0,0
52,3469.0,20,653.0,1,-1.0,0
49,5802.0,30,618.0,2,-1.0,0
31,747.0,26,543.0,2,-1.0,0
48,568.0,2,378.0,2,386.0,1
40,2998.0,18,623.0,3,-1.0,0
25,1185.0,7,290.0,1,114.0,1
27,-392.0,23,228.0,2,-1.0,0
35,898.0,9,214.0,1,-1.0,0
35,303.0,24,173.0,2,190.0,10
35,167.0,11,614.0,2,-1.0,0
49,9131.0,18,532.0,1,461.0,5
30,697.0,28,545.0,2,181.0,8
49,2611.0,20,194.0,2,-1.0,0
29,2531.0,19,634.0,1,-1.0,0
56,0.0,20,422.0,1,-1.0,0
25,154.0,3,141.0,1,180.0,2
31,617.0,4,1161.0,1,97.0,2
34,1279.0,22,174.0,2,160.0,8
30,536.0,14,362.0,2,91.0,2
43,519.0,20,973.0,2,-1.0,0
82,121.0,19,330.0,1,-1.0,0
33,158.0,6,192.0,2,-1.0,0
27,311.0,2,187.0,3,322.0,1
38,318.0,4,383.0,1,181.0,5
50,2313.0,5,553.0,1,-1.0,0
28,3611.0,26,141.0,2,-1.0,0
37,1649.0,1,140.0,3,-1.0,0
26,222.0,26,318.0,1,120.0,3
34,2374.0,9,243.0,2,92.0,3
24,726.0,8,445.0,2,-1.0,0
