GLCM_Pan,Mean_G,Mean_R,Mean_NIR,SD_Plan
135.284833,210.295775,93.169014,446.267606,29.275657
89.290909,192.0,86.571429,385.428571,16.96936
121.354167,327.416667,238.25,330.5,100.217125
119.362069,223.068966,100.206897,569.517241,25.071645
142.192537,227.02381,102.285714,661.404762,24.124171
133.822857,225.090909,98.181818,643.363636,25.242297
121.536957,233.689655,110.172414,708.758621,23.374936
120.185039,241.0,113.75,828.75,32.263987
136.720339,195.826923,89.134615,416.019231,19.973651
162.21875,221.0,107.0,437.0,9.0
127.971762,213.441177,93.382353,449.235294,25.425364
133.307586,225.483517,106.483517,687.89011,23.239823
166.546875,218.0,107.0,732.0,10.963006
119.22629,241.657895,128.684211,490.81579,20.93462
132.335953,205.59375,91.40625,625.4375,25.788029
129.067074,251.944516,116.593548,706.050323,8.78124
120.884817,259.333333,138.333333,425.333333,15.250455
135.347305,193.047619,91.333333,459.0,17.743192
123.559573,221.363636,99.090909,578.714286,28.003993
123.318888,205.742268,87.443299,420.773196,34.534811
128.750789,204.55,94.325,364.5,14.87395
111.028694,229.090909,100.659091,599.863636,33.022
146.464844,251.625,121.5,817.625,30.756097
135.650901,356.0,233.214286,435.964286,21.222431
100.357924,245.478261,114.173913,779.0,18.933772
114.032609,253.557692,118.634615,689.096154,19.439664
146.045455,261.0,115.0,789.0,25.778138
132.450772,215.015385,98.076923,579.569231,26.234193
125.946106,403.830986,201.289738,355.871227,8.64578
145.277778,207.941177,95.823529,437.882353,20.938202
97.848214,248.0,123.0,668.0,12.676509
103.493056,198.222222,87.111111,410.777778,40.252291
139.074419,244.666667,115.259259,752.740741,25.360663
116.965278,187.833333,76.944444,362.944444,22.956212
133.096845,228.880597,115.766169,563.154229,25.208466
137.305263,220.666667,110.0,494.333333,28.388671
127.464432,296.97114,215.578644,304.529582,8.742673
144.590136,201.783784,93.540541,502.702703,26.431465
113.1,248.6,110.2,669.6,19.663164
117.530242,237.129032,107.612903,786.096774,58.593558
143.558333,202.2,88.0,410.4,20.149442
138.965197,206.592593,89.333333,468.185185,18.405582
134.451679,202.784038,91.788732,480.14554,35.499341
130.511811,205.0,86.0,641.0,10.688048
107.539773,219.909091,89.636364,562.272727,32.012394
113.03444,212.235294,96.431373,543.411765,34.521377
139.05081,210.017699,109.150443,248.309735,14.804609
145.602941,223.823529,98.529412,660.588235,42.483378
139.89557,191.7,78.4,456.3,12.666787
128.93994,206.619048,95.380952,650.666667,17.788376
134.155235,197.742857,85.342857,449.371429,24.490898
121.352393,216.148515,97.70297,685.237624,36.99219
131.568207,173.756522,74.608696,255.426087,13.165815
114.460938,190.0,82.0,149.25,9.164938
136.394418,206.807692,91.076923,499.173077,34.320167
115.136364,242.909091,113.636364,652.545455,22.558281
151.531579,200.083333,89.166667,612.75,32.105187
112.99373,203.525,94.0,410.5,22.577076
131.870155,206.630769,92.261538,462.138462,31.046581
144.447552,210.611111,92.055556,694.111111,26.512052
105.421875,250.5,122.25,706.0,13.864861
137.867442,210.333333,91.925926,474.703704,24.203753
136.776952,211.529412,90.5,465.264706,16.437914
123.480011,248.447598,140.40393,424.622271,15.020064
123.7,233.7375,109.8375,717.825,9.276575
131.628713,244.105263,140.052632,592.263158,25.119396
132.080754,188.93617,75.851064,250.085106,18.165877
138.699853,208.388235,91.364706,421.741177,21.835224
128.916048,265.239057,128.252525,814.40404,26.624826
117.05625,201.3,88.8,492.0,15.665567
117.524978,233.916667,112.944444,707.986111,21.194968
107.919118,251.176471,129.882353,518.117647,27.478082
131.289063,240.708333,109.916667,786.541667,14.696879
120.805654,249.944444,123.777778,494.0,21.492821
124.456745,246.0,136.505747,591.724138,32.545445
113.943723,193.344828,86.482759,596.310345,17.279475
141.910714,232.0,100.428571,679.142857,39.178816
116.419643,180.571429,75.285714,389.571429,17.295747
143.361842,220.842105,99.631579,674.0,30.223452
124.597015,349.5,223.071429,421.952381,70.283234
150.743671,216.55,98.8,522.3,22.032703
130.062368,194.233333,87.2,252.066667,15.668652
130.151976,186.922705,82.086957,282.541063,18.717771
124.289063,262.125,122.625,815.25,21.148779
125.564466,366.862745,262.901961,473.901961,35.742431
132.223517,177.5,78.568966,377.758621,20.397552
138.8388,210.955224,94.343284,459.61194,28.087244
90.625,287.666667,154.666667,485.0,80.438382
128.919643,323.714286,223.857143,353.0,10.47251
131.71875,219.5,96.25,653.25,30.855735
131.102757,206.16,90.08,497.12,35.326274
125.553818,249.445676,122.305987,762.365854,26.455279
136.766212,224.891892,97.756757,513.081081,25.193945
130.004,186.276596,84.148936,293.361702,25.548381
110.747368,225.166667,104.833333,658.5,25.476978
133.083333,243.809524,113.809524,669.333333,22.674368
116.478082,301.434783,183.76087,527.869565,14.534052
134.013909,242.744186,119.406977,556.709302,23.401754
116.857616,310.526316,174.526316,551.210526,14.642556
133.446875,210.95,90.3,559.45,31.371125
141.613924,352.5,208.7,416.1,54.15524
120.470395,254.052632,116.736842,766.263158,33.123876
119.603261,221.862069,96.62069,620.293103,25.927761
125.693922,227.363636,109.5,750.545455,21.576598
130.979167,221.0,100.0,601.0,19.815819
135.148903,199.525,90.15,472.55,28.786184
139.917847,191.0,82.26087,395.478261,18.921887
120.962963,219.555556,102.37037,611.037037,18.723312
134.142023,210.0,95.353846,460.169231,16.314005
128.469357,191.404762,92.642857,295.142857,27.068539
128.961364,231.142857,120.428571,417.642857,14.067757
136.326389,218.555556,99.111111,712.777778,16.99092
128.729336,231.930481,122.588235,230.550802,23.437414
137.564835,255.052632,115.684211,835.736842,39.194506
118.90458,196.545455,81.606061,516.424242,26.560533
112.25,686.0,528.333333,703.666667,43.774676
106.0625,449.0,418.769231,741.615385,45.801605
136.433333,203.470588,83.470588,433.470588,20.018331
128.733621,214.767123,107.438356,233.808219,26.402837
94.612676,228.0,95.333333,686.444444,14.779866
128.7745,180.727273,77.325758,311.734849,26.182882
107.566667,197.0,86.117647,441.705882,31.654165
165.90625,270.0,123.5,779.0,17.378147
127.403802,194.445783,85.048193,348.686747,17.530588
135.094321,206.677419,89.5,497.274194,27.532008
138.182773,243.1,107.366667,799.833333,24.736949
129.285714,204.744186,88.744186,496.488372,34.597164
132.123859,465.34375,295.333333,499.25,38.762967
125.201077,176.085714,66.057143,224.942857,17.632669
117.109948,286.416667,163.833333,430.666667,25.084718
112.65894,199.421053,90.421053,433.631579,34.698783
116.964844,222.6875,96.4375,498.6875,29.654719
110.91029,229.333333,109.333333,502.666667,14.9462
142.844595,215.964286,95.071429,499.714286,37.084226
128.93722,233.880952,115.357143,529.547619,30.346609
125.46875,188.0,86.0,439.0,12.316148
131.183246,201.916667,84.25,377.666667,15.711593
140.285075,253.714286,117.190476,777.666667,23.21453
123.210227,184.75,80.204545,490.318182,28.385508
134.828656,200.627907,86.860465,525.511628,27.050821
118.146474,176.371429,79.928571,219.257143,14.653167
118.523188,200.586207,85.034483,392.091954,28.960499
116.983558,224.5,102.190476,663.238095,20.160144
183.28125,328.0,223.0,384.0,7.0
131.364593,178.810089,73.890208,229.005935,14.604308
121.527311,269.233333,144.0,428.5,26.53595
124.034803,221.853659,96.463415,491.902439,25.953354
108.59375,232.9,99.5,671.2,30.450616
125.98,212.361702,96.170213,615.638298,33.314407
129.186458,225.129032,102.443548,661.645161,27.978995
129.48996,207.5,86.5,294.25,11.151653
122.618034,255.016129,115.516129,809.677419,19.29399
132.123256,214.851852,95.074074,679.407407,26.757459
128.52518,198.857924,87.928962,487.333333,31.099763
134.439499,195.888889,89.444444,394.355556,25.557884
101.093333,239.578947,117.842105,584.526316,13.498538
127.807551,254.397541,118.385246,718.086066,7.973375
120.13442,217.596774,98.129032,503.193548,21.831829
134.195,278.32,183.92,336.52,25.005791
118.364687,221.631579,112.684211,617.0,34.036002
155.027778,226.444444,102.555556,562.0,17.751369
138.0681,209.622642,89.962264,588.433962,23.342223
109.176136,248.181818,125.545455,708.545455,16.789903
101.4625,220.8,97.6,530.0,31.537914
116.429688,226.125,106.0,640.725,27.103033
107.931818,269.363636,122.727273,752.0,20.691756
116.043584,214.153846,94.192308,571.192308,26.541162
121.635417,186.0,83.833333,482.333333,15.12632
110.822581,195.419355,85.354839,418.483871,30.500507
130.444279,197.188976,89.362205,201.582677,16.73446
123.720981,241.821691,114.488971,693.485294,19.790326
122.211407,244.490196,153.617647,351.843137,16.110361
135.215,210.301587,91.460317,490.396825,30.362063
120.190675,214.288889,95.277778,570.066667,31.153917
112.226601,217.019608,99.784314,587.666667,28.442229
119.407767,186.923077,74.230769,274.230769,27.075393
122.971345,223.348837,98.837209,794.930233,34.241112
142.143498,237.214286,109.714286,502.928571,28.588633
93.203125,364.0,235.0,490.0,101.566173
132.696225,322.42069,202.655172,271.634483,9.695065
